epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1034.61,0.71223,1.05149,0.48543,0.98741,0.95042,0.90164,0.95022,0.74343,0.95042,0.90164,0.95022,0.7282,0.81494,1.30875,0.48839,1.09164,0.0005546,0.0005546,0.0005546
75,1047.66,0.7051,1.09116,0.49886,0.9845,0.94369,0.93443,0.95722,0.75882,0.94369,0.93443,0.96067,0.73398,0.82368,1.29059,0.48567,1.08573,0.0005348,0.0005348,0.0005348
76,1060.74,0.72254,1.13926,0.50349,0.99122,0.96604,0.93266,0.95594,0.75432,0.96604,0.93266,0.96161,0.73443,0.79946,1.36244,0.471,1.07978,0.000515,0.000515,0.000515
77,1076.6,0.68479,1.05673,0.46731,0.97226,0.956,0.90984,0.95209,0.74751,0.956,0.90984,0.9523,0.73365,0.81342,1.34335,0.49349,1.07157,0.0004952,0.0004952,0.0004952
78,1089.67,0.68528,1.06221,0.48187,0.96382,0.94397,0.92623,0.9618,0.75949,0.94397,0.92623,0.9618,0.7464,0.81487,1.32989,0.50318,1.07875,0.0004754,0.0004754,0.0004754
79,1105.49,0.68568,1.0809,0.47177,0.97087,0.95506,0.91803,0.96127,0.75729,0.95506,0.91803,0.96623,0.7367,0.8262,1.38086,0.48205,1.08854,0.0004556,0.0004556,0.0004556
80,1118.58,0.69244,1.07504,0.46902,0.97475,0.97332,0.89716,0.95687,0.75627,0.97332,0.89716,0.96004,0.73653,0.81072,1.33222,0.48895,1.07197,0.0004358,0.0004358,0.0004358
81,1131.58,0.69564,1.08622,0.47674,0.97389,0.95012,0.9369,0.95694,0.76072,0.95012,0.9369,0.95987,0.74492,0.78481,1.31784,0.45398,1.07133,0.000416,0.000416,0.000416
82,1147.47,0.68308,1.07185,0.46195,0.9694,0.96178,0.94262,0.96118,0.76815,0.96178,0.94262,0.96504,0.74164,0.80429,1.34736,0.46906,1.07469,0.0003962,0.0003962,0.0003962
83,1160.42,0.68567,1.06096,0.46586,0.97053,0.95723,0.91723,0.95806,0.75674,0.95723,0.91723,0.95806,0.74186,0.83124,1.29545,0.47476,1.08945,0.0003764,0.0003764,0.0003764
